iter	Logloss
0	0.6765526588
1	0.6612500532
2	0.6390970213
3	0.6293106079
4	0.6143370462
5	0.6018257491
6	0.5563984092
7	0.5454448735
8	0.4972141511
9	0.4664401833
10	0.4571456559
11	0.4358352521
12	0.4305895884
13	0.4246616539
14	0.405166206
15	0.3954959834
16	0.3897779972
17	0.3842264228
18	0.381299815
19	0.3628515891
20	0.3604514446
21	0.3587712279
22	0.3488292869
23	0.3460242595
24	0.3405076823
25	0.3388207812
26	0.3334271492
27	0.3309034645
28	0.3289426401
29	0.3267018729
30	0.3258587199
31	0.3239179139
32	0.3199651176
33	0.3185443003
34	0.3179336688
35	0.3152820342
36	0.3140896438
37	0.3083117424
38	0.3060244289
39	0.3040121236
40	0.3024972338
41	0.3000714363
42	0.2984693335
43	0.2972570997
44	0.2957397601
45	0.2936691494
46	0.292974542
47	0.2874949394
48	0.2862481633
49	0.2848899211
50	0.2836816945
51	0.2825321407
52	0.281520511
53	0.2802603135
54	0.2784936712
55	0.277368528
56	0.2761169924
57	0.2749154677
58	0.2737009066
59	0.264301475
60	0.2629257692
61	0.2603724768
62	0.2590188893
63	0.2565371312
64	0.2550205616
65	0.2543204246
66	0.2526787574
67	0.2462250246
68	0.2451156476
69	0.2440100854
70	0.2432820381
71	0.2393413159
72	0.2385319876
73	0.2374358221
74	0.2324464431
75	0.2316956126
76	0.2308260016
77	0.2297582714
78	0.2289173231
79	0.227280468
80	0.2258126845
81	0.2246629208
82	0.2236802337
83	0.2231502708
84	0.2221400935
85	0.2205903989
86	0.2191276725
87	0.2181892745
88	0.2169937344
89	0.2155796716
90	0.2146837077
91	0.2140145958
92	0.2134647019
93	0.2129434708
94	0.2116504459
95	0.1956674768
96	0.1948789194
97	0.194196771
98	0.1930096303
99	0.1926337951
100	0.1915664498
101	0.1902810193
102	0.189559989
103	0.1871210151
104	0.1861005836
105	0.1851965878
106	0.1843897968
107	0.1840325977
108	0.1833398451
109	0.182824581
110	0.1815556867
111	0.1807573126
112	0.1794627478
113	0.1783852708
114	0.1776412999
115	0.1762618319
116	0.1760933202
117	0.1748787766
118	0.1734936565
119	0.1725131569
120	0.1718757874
121	0.1712987532
122	0.1708931529
123	0.1696996951
124	0.1690524565
125	0.1651396095
126	0.163993433
127	0.1630742134
128	0.1625195949
129	0.1619053587
130	0.1611493487
131	0.1606744014
132	0.1599819638
133	0.1582145691
134	0.1580938637
135	0.1573013516
136	0.1569012283
137	0.1528214621
138	0.1524467643
139	0.1516811476
140	0.1476376735
141	0.147045433
142	0.146938534
143	0.1460820119
144	0.1456677673
145	0.1449112498
146	0.1446719476
147	0.1436911679
148	0.1430395109
149	0.1411209369
150	0.140817231
151	0.1405600889
152	0.1404304067
153	0.1399869656
154	0.1386384702
155	0.1385878292
156	0.1367522598
157	0.1358570134
158	0.1351798871
159	0.135118572
160	0.1348834869
161	0.1348215331
162	0.1345751439
163	0.1340441923
164	0.1334407526
165	0.1329741522
166	0.1328558966
167	0.131546528
168	0.1307402707
169	0.1282837719
170	0.1276104691
171	0.1268360418
172	0.1232502001
173	0.1222295061
174	0.1213869742
175	0.1208520067
176	0.1195179651
177	0.1189739157
178	0.1183143143
179	0.1182016408
180	0.117634852
181	0.1175297903
182	0.1170371257
183	0.1160960329
184	0.1158152589
185	0.1150400967
186	0.1149298467
187	0.1142739287
188	0.1136716178
189	0.1118149364
190	0.1113397966
191	0.1084636198
192	0.1075906841
193	0.1075021236
194	0.1055845033
195	0.1049735393
196	0.1039240426
197	0.1032439416
198	0.1024204307
199	0.1017993
200	0.1014897058
201	0.1008393174
202	0.1005874511
203	0.1001366432
204	0.09796208198
205	0.09781839213
206	0.09724803365
207	0.09675760882
208	0.0963936727
209	0.09634269924
210	0.09579105552
211	0.09570093767
212	0.09517177967
213	0.09498620689
214	0.09492441055
215	0.09442094925
216	0.09437935505
217	0.0917464265
218	0.09169379068
219	0.09084783782
220	0.09007891384
221	0.08958083337
222	0.08954905589
223	0.08949691877
224	0.08815791629
225	0.08812107296
226	0.08808454461
227	0.08769359939
228	0.08764898668
229	0.08687217082
230	0.08634471018
231	0.08628310632
232	0.08622640207
233	0.0856092523
234	0.08520584806
235	0.08483906842
236	0.08453073414
237	0.08450250013
238	0.08400470839
239	0.08363712381
240	0.08298219453
241	0.08278096925
242	0.08234851732
243	0.0819544311
244	0.08170349226
245	0.08166785634
246	0.08114972246
247	0.08087849398
248	0.08036557469
249	0.08011796934
250	0.07914582524
251	0.07858822324
252	0.07826500639
253	0.07789359836
254	0.07759473958
255	0.07700249908
256	0.07667032294
257	0.0758789395
258	0.07585187789
259	0.0754227157
260	0.07512714666
261	0.07510101248
262	0.07356253458
263	0.07305788775
264	0.07259590254
265	0.07127712845
266	0.07097799406
267	0.07060574173
268	0.07012508987
269	0.06971302382
270	0.06923320315
271	0.0690183377
272	0.0687694812
273	0.06863314077
274	0.06825564323
275	0.067885237
276	0.06786551607
277	0.06746054133
278	0.06700949713
279	0.06671508737
280	0.06644538127
281	0.06620176123
282	0.0657591951
283	0.06545485488
284	0.06543782435
285	0.06507441319
286	0.06487544523
287	0.06445282752
288	0.06414265589
289	0.06385281764
290	0.06303724236
291	0.06269889797
292	0.06152957076
293	0.06122324882
294	0.06060361862
295	0.06022847902
296	0.06008089573
297	0.05991254159
298	0.05944650108
299	0.05922431246
