iter	Passed	Remaining
0	6	2092
1	14	2194
2	21	2135
3	27	2040
4	34	2013
5	40	1981
6	47	1971
7	53	1945
8	59	1923
9	66	1930
10	73	1942
11	81	1944
12	87	1930
13	95	1942
14	101	1929
15	108	1918
16	115	1916
17	121	1905
18	128	1902
19	135	1893
20	141	1885
21	148	1874
22	155	1868
23	162	1871
24	170	1871
25	177	1869
26	184	1866
27	191	1856
28	198	1851
29	204	1844
30	211	1836
31	218	1830
32	226	1830
33	233	1829
34	241	1826
35	247	1818
36	254	1810
37	261	1804
38	268	1795
39	275	1791
40	282	1782
41	289	1776
42	295	1767
43	303	1763
44	310	1757
45	317	1751
46	324	1745
47	331	1740
48	338	1735
49	346	1730
50	353	1723
51	359	1716
52	366	1710
53	373	1703
54	380	1696
55	388	1693
56	395	1687
57	402	1680
58	410	1674
59	417	1668
60	423	1660
61	430	1653
62	437	1646
63	444	1639
64	451	1633
65	459	1628
66	467	1624
67	473	1616
68	480	1609
69	487	1602
70	494	1593
71	501	1587
72	508	1579
73	515	1574
74	522	1567
75	528	1559
76	535	1550
77	541	1540
78	548	1533
79	554	1524
80	561	1517
81	567	1509
82	574	1501
83	580	1493
84	587	1485
85	593	1478
86	600	1470
87	607	1464
88	614	1455
89	621	1449
90	627	1440
91	633	1433
92	640	1426
93	647	1419
94	654	1411
95	660	1404
96	667	1395
97	673	1388
98	679	1380
99	687	1374
100	693	1366
101	699	1358
102	706	1351
103	713	1344
104	720	1337
105	726	1329
106	733	1322
107	739	1314
108	746	1307
109	752	1299
110	759	1293
111	766	1286
112	773	1279
113	779	1271
114	786	1265
115	792	1257
116	798	1249
117	806	1244
118	813	1237
119	820	1230
120	827	1224
121	834	1216
122	840	1208
123	846	1200
124	852	1193
125	858	1185
126	865	1178
127	871	1171
128	878	1164
129	884	1157
130	891	1149
131	897	1142
132	903	1134
133	910	1128
134	917	1121
135	923	1113
136	930	1106
137	936	1099
138	944	1093
139	950	1086
140	957	1079
141	963	1072
142	970	1065
143	977	1058
144	983	1051
145	989	1044
146	996	1037
147	1003	1030
148	1010	1024
149	1016	1016
150	1023	1009
151	1030	1003
152	1037	996
153	1043	989
154	1049	981
155	1056	975
156	1063	968
157	1069	961
158	1076	954
159	1081	946
160	1088	939
161	1094	932
162	1101	925
163	1108	918
164	1114	912
165	1121	905
166	1127	898
167	1134	891
168	1141	884
169	1147	877
170	1154	871
171	1161	864
172	1167	857
173	1174	850
174	1180	843
175	1187	836
176	1195	830
177	1201	823
178	1208	817
179	1215	810
180	1222	803
181	1229	796
182	1235	789
183	1241	782
184	1247	775
185	1254	768
186	1260	761
187	1266	754
188	1272	747
189	1279	740
190	1286	734
191	1292	727
192	1299	720
193	1306	713
194	1313	707
195	1319	700
196	1326	693
197	1333	687
198	1340	680
199	1349	674
200	1355	667
201	1362	661
202	1369	654
203	1377	648
204	1384	641
205	1391	634
206	1398	628
207	1405	621
208	1412	615
209	1419	608
210	1426	601
211	1433	595
212	1439	588
213	1446	581
214	1452	574
215	1459	567
216	1465	560
217	1472	553
218	1479	547
219	1485	540
220	1493	533
221	1500	527
222	1507	520
223	1513	513
224	1520	506
225	1527	500
226	1533	493
227	1541	486
228	1548	480
229	1554	473
230	1561	466
231	1567	459
232	1574	452
233	1581	446
234	1588	439
235	1595	432
236	1602	426
237	1610	419
238	1618	413
239	1625	406
240	1631	399
241	1638	392
242	1644	385
243	1651	379
244	1657	372
245	1664	365
246	1671	358
247	1676	351
248	1683	344
249	1690	338
250	1696	331
251	1703	324
252	1709	317
253	1716	310
254	1722	304
255	1730	297
256	1737	290
257	1744	283
258	1751	277
259	1757	270
260	1764	263
261	1771	256
262	1778	250
263	1784	243
264	1791	236
265	1798	229
266	1805	223
267	1811	216
268	1817	209
269	1825	202
270	1831	196
271	1838	189
272	1845	182
273	1852	175
274	1858	168
275	1865	162
276	1871	155
277	1878	148
278	1884	141
279	1891	135
280	1898	128
281	1904	121
282	1911	114
283	1917	108
284	1925	101
285	1931	94
286	1938	87
287	1946	81
288	1952	74
289	1959	67
290	1965	60
291	1972	54
292	1979	47
293	1986	40
294	1994	33
295	2000	27
296	2008	20
297	2015	13
298	2022	6
299	2029	0
