id,season,city,date,match_type,player_of_match,venue,team1,team2,toss_winner,toss_decision,winner,result,result_margin,target_runs,target_overs,super_over,method,umpire1,umpire2,match_id,year,month,day_of_week,venue_normalized,team1_win,toss_winner_is_team1,dl_applied,has_result,inn1_total_runs,inn1_wickets,inn1_balls,inn1_fours,inn1_sixes,inn1_dots,inn1_extras,inn1_run_rate,inn1_powerplay_runs,inn1_middle_overs_runs,inn1_death_overs_runs,inn2_total_runs,inn2_wickets,inn2_balls,inn2_fours,inn2_sixes,inn2_dots,inn2_extras,inn2_run_rate,inn2_powerplay_runs,inn2_middle_overs_runs,inn2_death_overs_runs
335982,2008,Bangalore,2008-04-18,League,BB McCullum,M Chinnaswamy Stadium,Royal Challengers Bengaluru,Kolkata Knight Riders,Royal Challengers Bengaluru,field,Kolkata Knight Riders,runs,140.0,223.0,20.0,N,,Asad Rauf,RE Koertzen,335982,2008,4,4,"M Chinnaswamy Stadium, Bengaluru",0.0,1,0,1,222,3,124,15,14,36,17,10.74,61,97,64,82.0,10.0,101.0,3.0,3.0,50.0,19.0,4.87,26.0,56.0,0.0
335983,2008,Chandigarh,2008-04-19,League,MEK Hussey,"Punjab Cricket Association Stadium, Mohali",Punjab Kings,Chennai Super Kings,Chennai Super Kings,bat,Chennai Super Kings,runs,33.0,241.0,20.0,N,,MR Benson,SL Shastri,335983,2008,4,5,"Punjab Cricket Association Stadium, Mohali",0.0,0,0,1,240,5,124,20,16,34,6,11.61,53,116,71,207.0,4.0,124.0,18.0,9.0,23.0,11.0,10.02,63.0,113.0,31.0
335984,2008,Delhi,2008-04-19,League,MF Maharoof,Feroz Shah Kotla,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,bat,Delhi Capitals,wickets,9.0,130.0,20.0,N,,Aleem Dar,GA Pratapkumar,335984,2008,4,5,"Arun Jaitley Stadium, Delhi",1.0,0,0,1,129,8,122,14,3,54,7,6.34,40,66,23,132.0,1.0,97.0,18.0,1.0,31.0,10.0,8.16,55.0,77.0,0.0
335985,2008,Mumbai,2008-04-20,League,MV Boucher,Wankhede Stadium,Mumbai Indians,Royal Challengers Bengaluru,Mumbai Indians,bat,Royal Challengers Bengaluru,wickets,5.0,166.0,20.0,N,,SJ Davis,DJ Harper,335985,2008,4,6,"Wankhede Stadium, Mumbai",0.0,1,0,1,165,7,123,18,5,45,11,8.05,47,71,47,166.0,5.0,123.0,15.0,6.0,36.0,5.0,8.1,40.0,86.0,40.0
335986,2008,Kolkata,2008-04-20,League,DJ Hussey,Eden Gardens,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,Kolkata Knight Riders,wickets,5.0,111.0,20.0,N,,BF Bowden,K Hariharan,335986,2008,4,6,"Eden Gardens, Kolkata",1.0,0,0,1,110,10,118,6,6,62,10,5.59,39,43,28,112.0,5.0,122.0,5.0,4.0,61.0,28.0,5.51,26.0,61.0,25.0
335987,2008,Jaipur,2008-04-21,League,SR Watson,Sawai Mansingh Stadium,Rajasthan Royals,Punjab Kings,Punjab Kings,bat,Rajasthan Royals,wickets,6.0,167.0,20.0,N,,Aleem Dar,RB Tiffin,335987,2008,4,0,Sawai Mansingh Stadium,1.0,0,0,1,166,8,122,18,7,54,4,8.16,54,74,38,168.0,4.0,119.0,17.0,7.0,47.0,12.0,8.47,53.0,99.0,16.0
335988,2008,Hyderabad,2008-04-22,League,V Sehwag,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,bat,Delhi Capitals,wickets,9.0,143.0,20.0,N,,IL Howell,AM Saheba,335988,2008,4,1,"Rajiv Gandhi Intl Stadium, Hyderabad",0.0,1,0,1,142,8,122,12,6,56,5,6.98,25,57,60,143.0,1.0,83.0,15.0,6.0,26.0,12.0,10.34,48.0,95.0,0.0
335989,2008,Chennai,2008-04-23,League,ML Hayden,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,Chennai Super Kings,runs,6.0,209.0,20.0,N,,DJ Harper,GA Pratapkumar,335989,2008,4,2,"MA Chidambaram Stadium, Chennai",1.0,0,0,1,208,5,127,24,6,37,18,9.83,53,105,50,202.0,7.0,128.0,19.0,8.0,38.0,13.0,9.47,52.0,95.0,55.0
335990,2008,Hyderabad,2008-04-24,League,YK Pathan,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,wickets,3.0,215.0,20.0,N,,Asad Rauf,MR Benson,335990,2008,4,3,"Rajiv Gandhi Intl Stadium, Hyderabad",0.0,0,0,1,214,5,126,24,9,37,6,10.19,58,102,54,217.0,7.0,122.0,18.0,14.0,34.0,7.0,10.67,73.0,103.0,41.0
335991,2008,Chandigarh,2008-04-25,League,KC Sangakkara,"Punjab Cricket Association Stadium, Mohali",Punjab Kings,Mumbai Indians,Mumbai Indians,field,Punjab Kings,runs,66.0,183.0,20.0,N,,Aleem Dar,AM Saheba,335991,2008,4,4,"Punjab Cricket Association Stadium, Mohali",1.0,0,0,1,182,10,124,18,5,40,7,8.81,60,86,36,116.0,9.0,126.0,12.0,4.0,69.0,7.0,5.52,39.0,66.0,11.0
335992,2008,Bangalore,2008-04-26,League,SR Watson,M Chinnaswamy Stadium,Royal Challengers Bengaluru,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,wickets,7.0,136.0,20.0,N,,MR Benson,IL Howell,335992,2008,4,5,"M Chinnaswamy Stadium, Bengaluru",0.0,0,0,1,135,8,124,12,7,64,6,6.53,57,51,27,138.0,3.0,105.0,22.0,2.0,44.0,3.0,7.89,45.0,85.0,8.0
335993,2008,Chennai,2008-04-26,League,JDP Oram,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,bat,Chennai Super Kings,wickets,9.0,148.0,20.0,N,,BF Bowden,AV Jayaprakash,335993,2008,4,5,"MA Chidambaram Stadium, Chennai",1.0,0,0,1,147,9,126,14,4,49,8,7.0,61,47,39,152.0,1.0,107.0,12.0,5.0,34.0,18.0,8.52,45.0,94.0,13.0
