player_name,season,runs_scored,balls_faced,fours,sixes,dismissals,strike_rate,batting_avg,balls_bowled,runs_conceded,wickets,economy,bowling_avg,bowling_sr
A Ashish Reddy,2012,35.0,30.0,3.0,1.0,4.0,116.66666666666667,8.75,169.0,238.0,11.0,8.449704142011834,21.636363636363637,15.363636363636363
A Ashish Reddy,2013,125.0,90.0,8.0,5.0,6.0,138.88888888888889,20.833333333333332,41.0,71.0,3.0,10.390243902439025,23.666666666666668,13.666666666666666
A Ashish Reddy,2015,73.0,46.0,3.0,5.0,3.0,158.69565217391303,24.333333333333332,37.0,51.0,4.0,8.27027027027027,12.75,9.25
A Ashish Reddy,2016,47.0,30.0,2.0,4.0,2.0,156.66666666666666,23.5,23.0,40.0,1.0,10.434782608695652,40.0,23.0
A Badoni,2022,161.0,139.0,11.0,7.0,9.0,115.8273381294964,17.88888888888889,12.0,12.0,2.0,6.0,6.0,6.0
A Badoni,2023,238.0,186.0,13.0,12.0,9.0,127.95698924731182,26.444444444444443,1.0,0.0,0.0,0.0,999.0,999.0
A Badoni,2024,235.0,180.0,22.0,5.0,8.0,130.55555555555557,29.375,12.0,25.0,0.0,12.5,999.0,999.0
A Chandila,2012,0.0,1.0,0.0,0.0,1.0,0.0,0.0,84.0,87.0,5.0,6.214285714285714,17.4,16.8
A Chandila,2013,4.0,6.0,0.0,0.0,0.0,66.66666666666666,4.0,150.0,158.0,6.0,6.32,26.333333333333332,25.0
A Chopra,2008,42.0,55.0,5.0,0.0,4.0,76.36363636363637,10.5,0.0,0.0,0.0,0.0,0.0,0.0
A Chopra,2009,11.0,20.0,2.0,0.0,1.0,55.00000000000001,11.0,0.0,0.0,0.0,0.0,0.0,0.0
A Choudhary,2017,25.0,20.0,1.0,1.0,2.0,125.0,12.5,108.0,144.0,5.0,8.0,28.8,21.6
A Dananjaya,2018,4.0,5.0,0.0,0.0,0.0,80.0,4.0,25.0,47.0,0.0,11.28,999.0,999.0
A Flintoff,2009,62.0,57.0,5.0,2.0,2.0,108.77192982456141,31.0,66.0,106.0,2.0,9.636363636363637,53.0,33.0
A Kamboj,2024,2.0,2.0,0.0,0.0,0.0,100.0,2.0,68.0,115.0,2.0,10.147058823529411,57.5,34.0
A Kumble,2008,13.0,17.0,1.0,0.0,1.0,76.47058823529412,13.0,236.0,314.0,8.0,7.983050847457626,39.25,29.5
A Kumble,2009,16.0,20.0,2.0,0.0,1.0,80.0,16.0,358.0,353.0,22.0,5.916201117318436,16.045454545454547,16.272727272727273
A Kumble,2010,6.0,12.0,0.0,0.0,0.0,50.0,6.0,389.0,422.0,19.0,6.508997429305913,22.210526315789473,20.473684210526315
A Manohar,2022,108.0,79.0,14.0,3.0,6.0,136.70886075949366,18.0,0.0,0.0,0.0,0.0,0.0,0.0
A Manohar,2023,114.0,86.0,6.0,7.0,6.0,132.5581395348837,19.0,0.0,0.0,0.0,0.0,0.0,0.0
A Manohar,2024,9.0,16.0,1.0,0.0,2.0,56.25,4.5,0.0,0.0,0.0,0.0,0.0,0.0
A Mishra,2008,37.0,42.0,3.0,0.0,4.0,88.09523809523809,9.25,123.0,140.0,11.0,6.829268292682927,12.727272727272727,11.181818181818182
A Mishra,2009,26.0,20.0,2.0,2.0,2.0,130.0,13.0,262.0,300.0,14.0,6.870229007633588,21.428571428571427,18.714285714285715
A Mishra,2010,39.0,54.0,1.0,0.0,4.0,72.22222222222221,9.75,329.0,371.0,20.0,6.76595744680851,18.55,16.45
A Mishra,2011,68.0,52.0,9.0,1.0,6.0,130.76923076923077,11.333333333333334,324.0,369.0,19.0,6.833333333333333,19.42105263157895,17.05263157894737
A Mishra,2012,16.0,21.0,1.0,0.0,3.0,76.19047619047619,5.333333333333333,289.0,381.0,13.0,7.9100346020761245,29.307692307692307,22.23076923076923
A Mishra,2013,89.0,103.0,9.0,0.0,3.0,86.40776699029125,29.666666666666668,376.0,395.0,24.0,6.303191489361702,16.458333333333332,15.666666666666666
A Mishra,2014,4.0,7.0,0.0,0.0,1.0,57.14285714285714,4.0,230.0,342.0,8.0,8.921739130434782,42.75,28.75
A Mishra,2015,8.0,13.0,0.0,0.0,2.0,61.53846153846154,4.0,249.0,312.0,9.0,7.518072289156627,34.666666666666664,27.666666666666668
A Mishra,2016,4.0,14.0,0.0,0.0,2.0,28.57142857142857,2.0,284.0,350.0,14.0,7.394366197183098,25.0,20.285714285714285
